"会员","级别","评价星级","评价内容","时间","点赞数","评论数","追评时间","追评内容","页面网址","页面标题","采集时间"
"s***y","PLUS会员","star5","给老婆用的，苹果的笔记本真的是很好看。","2018-02-28 14:14","24","5",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:44.2602369"
"j***0",,"star5","超爱的一款笔记本，观望了很久才到手滴，原本应该在618入手的，可是自己太犹豫了一直没有入手，建议大家买256g，不然会更犹豫！希望宝贝可以多陪我几年，毕竟价格不菲！","2018-11-25 13:32","1","3",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:44.3216636"
"花***1","PLUS会员","star5","比其他笔记本做的好的就是超薄，手感很不错我是苹果系列的忠实粉丝，超级喜欢，唯一的遗憾就是不能和其他电脑一样用的办公软件","2018-11-30 10:43","2","2",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:44.3626542"
"亂***天","PLUS会员","star5","一次性买了两台，还没适应苹果电脑，老是当Windows系统来用，习惯很难改呀！","2018-12-06 16:02","2","2",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:44.3899747"
"丿***瓜","PLUS会员","star5","机子拿到手就兴致勃勃拆箱，马上@机子，查看序列号，没问题新机，11月底刚造的机子。值得拥有","2018-12-07 00:20","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:44.4347115"
"腻***姐",,"star5","很nice办公好手，也很好携带，总体来说是非常满意的，而且，价格特别合适，可以说整年最~买到的！开森","2018-12-25 10:45","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:44.4729871"
"c***0","PLUS会员","star5","买之前看来看去，解决了office问题和**问题，没有犹豫，直接买了，物超所值。","2018-12-19 15:42","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:44.5082559"
"我***啊",,"star5","东西差，性价比差，死机好几次，音量一开大，左边喇叭就会次次响，物流慢死半个多月才到","2018-12-24 23:39","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:44.5428595"
"j***莉",,"star5","包装完整，发货速度快，包装大气，符合我的需求。还没开始用，正准备装双系统。","2018-12-24 10:33","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:44.5831137"
"沛***森","PLUS会员","star5","挺好的，办公很合适","2018-12-23 18:03","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:44.6129119"
"杨***雷",,"star5","东西不错，最~时候买的。很划算","2018-12-24 11:06","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:59.9036198"
"九***梦",,"star5","怎么说吧，五年的果粉了 从4到X 从MacBook到pro再到现在的新款Air 打开包装的那瞬间也是震惊了 特别小巧 相当舒服 还是很喜欢 用来办公很舒服 强推","2018-01-20 12:45","16","8",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:59.9341593"
"j***8","PLUS会员","star5","用了10天才算顺手，虽然一直用苹果手机，可苹果电脑第一次用，刚开始真不喜欢。我喜欢银色的我以为双十二价格更好点就买了有货的灰色，可是就在我买后的第二天银色有货了，价格也便宜了188,还送内胆包。真心觉得买的是最贵的时候，所以买大件还是冷静一点，免得后悔","2018-12-26 13:32","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:59.9701357"
"小***1",,"star5","质感还是不错的","2018-12-19 12:07","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:00.0034571"
"w***t","PLUS会员","star5","帮朋友买的，我是不怎么喜欢这款电脑，配置不怎么样还死贵！同样价钱买别的本子配置能高几个档次，不过这货是一根筋，听不进劝没办法哈哈。据他反应挺不错，他挺满意（好吧，其实我觉得他这是交智商税了）哈哈。由于这货没拍几张，所以就三张图凑合看吧！","2017-12-20 18:20","176","27",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:00.0301717"
"j***~",,"star5","人生第一次也是第一次用苹果电脑，不负所望。就是我感觉这电脑别人用过。我更新软件我的id不能下载。 不过性能 和操作流畅度没的说。哈哈哈哈哈哈哈ヾ?≧∀≦)o 学习了两个小时的基本操作。现在出师了。可以运用于生活工作了。","2018-12-16 15:07","1","2",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:00.0701335"
"丽***你",,"star5","第一次买这个贵的电脑，还是在网购，京东没有让我失望，包装很好，速度一如既往地快！","2017-12-04 15:14","8","4",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:00.1000041"
"w***8",,"star5","哈哈哈，昨晚双十一0点买的，早上9:30就到了，观望了十多天，终于还是下手了，优惠券一起5838买的，值不值？希望对我未来办公有帮助，再也不用拿着本子到处跑了?","2017-11-11 10:39","52","3",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:00.1332032"
"晃***了","PLUS会员","star5","怎么说呢，真心不好用，尤其是这个接口要多伤有多伤，大家有个心理准备再买。","2018-11-09 18:07","1","5",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:00.1632290"
"j***ぺ",,"star4","很好，很不错，但是从win转过来的确实需要一定的学习，但只要上手，确实能感受到苹果系统的牛逼之处，从本本的情况来说，运行流畅，目前来说，除了网速造成的卡顿之外，整体很好，音响也不错，外观，额，很薄，但是在最薄的地方，也就是托手的地方竟然有些割手，注意是割手不是硌手！一般来说，你不去故意摸感触不到，电脑的大小，看我的照片就知道，下面是15寸的普通电脑，不是很大，一般般，还有就是苹果客服很不错，我是指电话客服，很不错，一直跟踪到我的问题完全解决，另外就是我工作软件cad找不到从哪里下载，很恼火，以上，其他，不错！","2017-06-29 12:37","74","19",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:00.2001134"
"l***5","PLUS会员","star5","好漂亮的机子，一直纠结在华为xpro和air上，一个是八核加触屏，一个仅仅是双核没有触屏，最终还是选择了苹果，毕竟是顶级的品牌，软件强大，触感灵敏，反应超快，还要好好适应操作系统，很满意，从前的梦想总算实现了","2018-11-09 10:56","7","9",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:15.5602693"
"轩***贝",,"star5","按时到货！2017年产的新货！所有保修期都正常！5400拿到手的！感觉真棒棒哒！","2017-06-26 20:16","23","8",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:15.6101772"
"芸***昔",,"star5","灰色挺好看的，花了几小时时间给该装的都装好了，系统也设置成自己喜欢的了，带系统才用了20G,主要后面准备拿来看课件，买大一些。超满意，去专卖店看过金色，不太喜欢。京东物流真快，上海过来，不到二十四小时就到了，本来只是看上外观，研究了一下苹果的系统，其实很好用很人性化的一个系统，触摸屏手势触角都很好用，基本常用APP都能下载到，超满意。完全没必要弄双系统。本来对果不感冒，之前用过一个iPadmini。笔记本没用过的话还是可以来一台的。","2018-11-18 23:42","4","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:15.6600719"
"s***y","PLUS会员","star1","最近几天看京东在搞活动，诱惑还是比较大，对于这款电脑来说，适合商务人士，比较轻薄，方便携带！质感也不错，但”这款电脑是不适合打游戏的‘’所以想要打游戏的还是算了吧！做一些软件之内的还是可以，大型3D制图没试过！普通看电影，写一些程序还是可以！都说京东物流快！但是这一次购物物流真让人伤心！我是上午10点左右下单，按京东的服务标准应该是当天下午到！结果一直不发货，给京东客服打电话说要专员处理，结果一直没有接到专员电话。货到了后才回电！看来京东是飘了！这次物流非常不满意！你送得到就送，送不到至少打个电话啊！","2017-11-06 16:28","123","56",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:15.7322243"
"行***7","PLUS会员","star2","先说京东物流：本来我买的是华为pro结果没送来，还一直给我说今天能送来，等了6天没送我就退了。接着买了macbookair这次倒是很快。使用体验:整体外观很漂亮适合#，同样我去了华为体验店发现华为外观也很漂亮，作为常用win系统的我对苹果系统很是不习惯，用不来申请退货发现不能退，没办法凑合用熟悉了几天发现他的触控板很好用基本不用鼠标，同样问题就太多了，比如我按的cad天正版图打不开，工作时不插电源的情况可用3小时左右而且没电不提示直接关机了，也有可能是我没设置好，还有风扇的声音特别大我只是打开了一个表格而已。个人建议买的人需谨慎。用一段时间再来评价吧。","2018-11-26 10:26","5","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:15.7900314"
"思***睫",,"star5","此用户未填写评价内容","2018-12-05 17:41","2","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:15.8399802"
"j***b",,"star5","此用户未填写评价内容","2018-12-16 01:19","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:15.8936531"
"j***6",,"star5","速度很快，给个赞","2018-11-11 16:26","1","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:15.9403455"
"买***6",,"star1","不要在这里买了，越来越价格便宜。千万不要贪那几百块，去直营店买京东的客服就是个屁，就只会说正品的那种，其余什么都不会，jingdong售后,就叫你去苹果官网问而且有霸道条款，不能退换货有问题也不行。你们要注意我第二次开机就卡到不行，卡了几分钟下载不了软件打开不行网页。我wifi是正常的而且技术支持刚买几天还有2个月到期我只能说，再这么卡顿用不了我就先给官网打电话，再直接给工商局打电话了，客服都不问了。还是去直营店买吧，完美售后 无理由退换货。我真的是后悔了","2018-02-26 23:06","266","51",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:15.9900864"
"零***D",,"star5","别看贵真是不错","2018-12-15 13:42","1","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:16.0435202"
"t***2",,"star5","新款价格太高，性价比远不如老款，老婆大人只给批了老款的预算，双十一入手。结果从邻市大仓发出来的自营的物流速度远不如远道发过来的各种通。焦急等了几天终于送到。因为之前看到很多人说二手问题，开箱同时录了视频做证据，同时上官网查保修期和电话支持，包括各种验真的标准都没问题。绝对的新机。开箱就闻到了传说中的苹果香，味道不错。设置好系统迫不及待安装了一些常用的APP。到现在使用了快一个月了，各种满意！不用再忍受windows的各种~了！虽然有些软件还是体验不够好，功能还不太习惯，但是苹果系统真的太棒了！一万个赞！继续摸索...","2018-12-07 00:15","4","1","[购买26天后追评]","主要用于办公，128G硬盘足够。办公用WPS2019版，文件自动存在云端；照片存百度网盘；加个SD卡长期插着当作第二块硬盘，怎么都够用了。","https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:31.3349698"
"l***1",,"star5","已收到货 试了下 果然iOS还是最好用 贼6了","2018-11-08 15:21","5","6",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:31.3708738"
"j***i",,"star5","还不错","2018-12-07 17:56","11","5","[购买2天后追评]","嘻嘻","https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:31.4067773"
"x***8",,"star3","不知道好不好，买了半个月，后面几天发现有瑕疵，找客服说不能退，后来反了五十京券，希望不会有什么问题。在京东买东西，就是靠运气，运气好买的东西就值得。运气不好，都不知道去找谁。","2018-12-18 17:14","0","2",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:31.4416853"
"s***y","PLUS会员","star5","不错不错，用起来很好，速度挺快，办公用用足够使用，毫无压力，不玩游戏挺好的。","2018-06-27 21:11","0","0","[购买175天后追评]","用起来还是可以的，就是屏幕分辨率有点低了","https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:31.4786213"
"我***长",,"star5","2018年11月3号晚上下单 4号激活 全新 发票配件齐全 赠带手提电脑包一个 透明键盘膜一个 低价**有意者可联系我本人18827083102 拒绝骚扰 感谢～","2018-11-05 10:04","2","10","[购买2天后追评]","此用户未填写评价内容","https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:31.5145417"
"j***b","PLUS会员[试用]","star5","还是很惊喜的，很薄速度很快，刚开始有点不适应，习惯后还是很方便的，比用鼠标方便多了，虽然苹果比较贵，但很好用，包括系统，屏幕键盘，触控板，很贵，偶尔有小毛病，但是工作效率远比Windows高（Linux的大部分系统效率更高），您可以根据您的需要，选择，如果要高性能工作那就选Pro系列，如果只是日常上网，看片，office，和简单的其他工作Macbook就可胜任，能省不少钱。不过不追求轻薄与性能一体那么其他公司同配置电脑也可考虑，苹果毕竟一开始还要适应好久才能达到最高效率，不过如果周围人都用苹果，自己也使用苹果的很多其他设备包括iPhone，iPad什么的，那还是选苹果，这样交互式的工作效率也会提高，还在继续使用中，希望越来越好。","2018-12-15 00:30","1","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:31.5493973"
"Z***u","PLUS会员[试用]","star5","非常好","2018-12-16 20:31","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:31.5833106"
"M***K",,"star5","电脑还行吧，跟window不一样的系统，纠结了很久，朋友都说window好，苹果系统不好用，个人认为硬装还是觉得苹果的好，虽然很多软件无法安装，比较单一，但是平常办公还是OK的，用习惯了就好。电脑拆开有一丢丢小瑕疵刮到的，开机前没注意到又不能更换就算了。电量不怎么耐耗，还在纠结买不买window的朋友建议根据个人需**买，喜欢游戏的可以路过打酱油了。","2018-08-27 23:42","20","2",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:31.6162221"
"H***L","PLUS会员","star5","很轻便，挺适合移动办公！苹果的工艺确实是顶级的，这点毋庸置疑！好评！","2018-12-10 13:31","2","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:31.6521274"
"索***鸦","PLUS会员","star5","送货速度确实很快，不过价格这次优惠力度不是很大，可能有赠品吧，其实送的赠品一般般，宁可价格优惠","2018-12-25 11:48","1","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:36:46.9306655"
